orden,Cuenta,ID_Video,frases,score,segundo,tipo-sexismo
243,@sandy_curvy,7627553593704467734,"Gracias por la ropa, don Mango, pero lo que más me sirve es el odio que traigo aquí dentro",0.0687514171004295,162,
244,@sandy_curvy,7627553593704467734,"Gracias por la ropa, don Mango, pero lo que más me sirve es el odio que traigo aquí dentro",0.0687514171004295,163,
245,@sandy_curvy,7627553593704467734,"Gracias por la ropa, don Mango, pero lo que más me sirve es el odio que traigo aquí dentro",0.0687514171004295,164,
246,@sandy_curvy,7627553593704467734,"Pera, disfruta tu corona de mentira.",0.2866387665271759,165,
247,@sandy_curvy,7627553593704467734,"Pera, disfruta tu corona de mentira.",0.2866387665271759,166,
248,@sandy_curvy,7627553593704467734,Porque cuando yo regrese,0.0468213148415088,167,
249,@sandy_curvy,7627553593704467734,Porque cuando yo regrese,0.0468213148415088,168,
250,@sandy_curvy,7627553593704467734,No te va a quedar ni el rabo para llorar.,0.1040557399392128,169,
251,@sandy_curvy,7627553593704467734,No te va a quedar ni el rabo para llorar.,0.1040557399392128,170,
252,@sandy_curvy,7627553593704467734,No te va a quedar ni el rabo para llorar.,0.1040557399392128,171,
